ticker,secid,short_name,full_name,inn,ogrn,sector,industry,moex_board,is_public,is_traded,has_smartlab_data,has_ifrs,has_ras,disclosure_page_url,e_disclosure_company_id,issuer_website,source_priority,status,coverage_status,last_report_period,last_successful_update,notes
ABIO,ABIO,ABIO,"ПАО ""Артген""",,,Здравоохранение,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
ABRD,ABRD,ABRD,Абрау-Дюрсо ПАО ао,,,Потребительский сектор,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AFKS,AFKS,AFKS,"АФК ""Система"" ПАО ао",,,Конгломерат,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AFLT,AFLT,AFLT,Аэрофлот-росс.авиалин(ПАО)ао,,,Транспорт,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AGRO,AGRO,AGRO,,,,Потребительский сектор,,,true,,true,,,,,,7,ok,smartlab_only,2023,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AKRN,AKRN,AKRN,Акрон ПАО ао,,,Химия,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
ALRS,ALRS,ALRS,АЛРОСА ПАО ао,,,Металлы и добыча,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AMEZ,AMEZ,AMEZ,,,,Металлы и добыча,,,true,,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
APRI,APRI,APRI,АПРИ,,,Недвижимость,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
APTK,APTK,APTK,"ПАО ""Аптечная сеть 36,6"" ао",,,Потребительский сектор,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AQUA,AQUA,AQUA,ПАО ИНАРКТИКА,,,Потребительский сектор,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
ARSA,ARSA,ARSA,УК Арсагера ПАО-ао,,,Финансы,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
ASSB,ASSB,ASSB,"""Астраханская ЭСК"" ПАО",,,Энергетика,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
ASTR,ASTR,ASTR,Группа Астра ао,,,IT,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
AVAN,AVAN,AVAN,"АКБ ""АВАНГАРД"" ПАО ао",,,Финансы (Банки),,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BANE,BANE,BANE,Башнефть АНК ао,,,Нефть и газ,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BANEP,BANEP,BANEP,Башнефть АНК ап,,,Нефть и газ,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BAZA,BAZA,BAZA,ГК БАЗИС,,,Недвижимость,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BELU,BELU,BELU,НоваБев Групп ПАО ао,,,Потребительский сектор,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BISVP,BISVP,BISVP,Башинформсвязь(ПАО) ап,,,Телекоммуникации,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BLNG,BLNG,BLNG,Белон ОАО ао,,,Металлы и добыча,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BRZL,BRZL,BRZL,Бурятзолото ПАО ао,,,Металлы и добыча,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BSPB,BSPB,BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао",,,Финансы (Банки),,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BSPBP,BSPBP,BSPBP,Банк Санкт-Петербург ап,,,Финансы (Банки),,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
BTBR,BTBR,В2В-РТС,В2В-РТС,,,,,TQBR,true,true,false,,,,,,8,needs_mapping,candidate,,2026-06-27T21:29:02+00:00,created_from_moex_discovery
CARM,CARM,CARM,СТГ ао,,,Промышленность,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CBOM,CBOM,CBOM,"""МКБ"" ПАО ао",,,Финансы (Банки),,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CHGZ,CHGZ,CHGZ,РН-Западная Сибирь ПАО ао,,,Нефть и газ,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CHKZ,CHKZ,CHKZ,"""ЧКПЗ"" ПАО ао",,,Промышленность,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CHMF,CHMF,CHMF,Северсталь (ПАО)ао,,,Металлы и добыча,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CHMK,CHMK,ЧМК ао,"""ЧМК"" ПАО ао",,,,,TQBR,true,true,false,,,,,,8,needs_mapping,candidate,,2026-06-27T21:29:02+00:00,created_from_moex_discovery
CNRU,CNRU,CNRU,"МКПАО ""Циан""",,,IT,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CNTL,CNTL,CNTL,"""Центральный Телеграф"" ПАО ао",,,Телекоммуникации,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
CNTLP,CNTLP,CNTLP,"""Центральный Телеграф"" ПАО ап",,,Телекоммуникации,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DATA,DATA,DATA,Группа Аренадата,,,IT,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DELI,DELI,DELI,Каршеринг Руссия ао,,,Потребительский сектор,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DIAS,DIAS,DIAS,Диасофт ао,,,IT,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DIOD,DIOD,DIOD,Завод ДИОД ПАО ао,,,Промышленность,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DOMRF,DOMRF,DOMRF,ПАО ДОМ.РФ,,,Финансы,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DVEC,DVEC,DVEC,"""ДЭК"" ПАО ао",,,Энергетика,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DZRD,DZRD,DZRD,Донской завод радиодеталей ао,,,Промышленность,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
DZRDP,DZRDP,DZRDP,Донской завод радиодеталей ап,,,Промышленность,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
EELT,EELT,EELT,"""ЕвропЭлектротехника"" ПАО ао",,,Энергетика,,TQBR,true,true,true,,,,,,7,ok,smartlab_only,2025,2026-06-27T16:32:37+00:00,created_from_smartlab_panel
