ticker,inn,company_name,source_type,source_url,document_title,document_type,reporting_standard,fiscal_year,period,period_type,priority,active,notes
AFLT,,Aeroflot,financial_reports_page,https://ir.aeroflot.ru/en/financial-information/financial-results/,Aeroflot official financial results page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
ALRS,,ALROSA,financial_reports_page,https://www.alrosa.ru/en/investors/reporting/financial-reports/,ALROSA official financial reports page,financial_reports_page,MIXED,,,page,6,false,official issuer page; site returned http_403 from local curl on 2026-06-28
CHMF,,Severstal,financial_reports_page,https://severstal.com/eng/ir/indicators-reporting/annual-reports/,Severstal official annual reports page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
CHMF,,Severstal,financial_reports_page,https://severstal.com/eng/ir/indicators-reporting/financial-results/,Severstal official financial results page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
CHMF,3528000597,Severstal,manual_report,https://severstal.com/upload/iblock/58c/d28qith85syim8uux7ins96trdbcv0kw/ARA1173_Otchet_SS_2024_En_10_06_NaSayt.pdf,Severstal official integrated annual report 2024,irrelevant,UNKNOWN,2024,2024,annual,9,false,official issuer PDF; verified_http_200=2026-06-28; disabled_for_ifrs_extraction_financial_statements_not_embedded
CHMF,3528000597,Severstal,report_xlsx,https://severstal.com/upload/iblock/e1d/Financial_and_Operating_data_SVST_4Q_21.xlsx,Severstal official financial and operating data 4Q 2021,IFRS annual,IFRS,2021,2021,annual,2,true,official issuer XLSX; verified_http_200=2026-06-28
FEES,,Rosseti,manual_report,https://e-disclosure.ru/portal/FileLoad.ashx?Fileid=1828391,Rosseti annual financial statements 2023,IFRS annual,IFRS,2023,2023,annual,2,true,official e-disclosure file; verified_http_200=2026-06-28
GMKN,,Nornickel,financial_reports_page,https://nornickel.com/investors/disclosure/financials/,Nornickel official financial statements page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
LKOH,,Lukoil,financial_reports_page,https://www.lukoil.com/InvestorAndShareholderCenter/FinancialReports,Lukoil official financial reports page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
LKOH,7708004767,Lukoil,manual_report,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,Lukoil official IFRS financial statements 4Q 2021,IFRS annual,IFRS,2021,2021,annual,2,true,official issuer PDF; verified_http_200=2026-06-28; HEAD false-negative handled by GET fallback
MGNT,,Magnit,financial_reports_page,https://www.magnit.com/en/shareholders-and-investors/results-and-reports/,Magnit official results and reports page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
MOEX,,Moscow Exchange,financial_reports_page,https://www.moex.com/s1355,MOEX official financial results page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
MOEX,7702077840,Moscow Exchange,manual_report,https://fs.moex.com/f/23629/summary-micex-rts-fs-fs-4q2025-eng.pdf,MOEX official IFRS financial statements FY 2025,IFRS annual,IFRS,2025,2025,annual,2,true,official issuer PDF; verified_http_200=2026-06-28
MOEX,7702077840,Moscow Exchange,report_xlsx,https://fs.moex.com/f/22803/ifrs-databook-1q-2026.xlsx,MOEX official IFRS databook 1Q 2026,IFRS interim,IFRS,2026,2026Q1,interim,5,false,official issuer XLSX; verified_http_200=2026-06-28; disabled_until_databook_parser_distinguishes_net_income_rows
MTS,,MTS,report_xlsx,https://storage.ir.mts.ru/mts-ir/images/documents/MTS__SummaryFinancials_4Q2024.xlsx,MTS official summary financials 4Q 2024,IFRS annual,IFRS,2024,2024,annual,2,true,official issuer XLSX; verified_http_200=2026-06-28
NLMK,,NLMK,financial_reports_page,https://nlmk.com/en/ir/results/,NLMK official results page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
NVTK,,NOVATEK,financial_reports_page,https://www.novatek.ru/en/investors/results/,NOVATEK official results page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
PHOR,,PhosAgro,financial_reports_page,https://www.phosagro.com/investors/reports/msfo/,PhosAgro official IFRS reports page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
PHOR,7726030449,PhosAgro,manual_report,https://cdn.phosagro.com/upload/iblock/92d/j3831nr7hhuejv3w2m888g075kwfw3px.pdf,PhosAgro official IFRS annual report 2025,IFRS annual,IFRS,2025,2025,annual,2,true,official issuer PDF; verified_http_200=2026-06-28
PLZL,,Polyus,financial_reports_page,https://polyus.com/en/investors/results-and-reports/,Polyus official results and reports page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
ROSN,,Rosneft,financial_reports_page,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,Rosneft official consolidated financial statements page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
SBER,,Sber,financial_reports_page,https://www.sberbank.com/common/img/uploaded/redirected/com/investor-relations/financial-results-and-presentations/,Sber official static IR reports page,financial_reports_page,MIXED,,,page,7,true,official issuer static page; verified_http_200=2026-06-28; fallback_for_waf_blocked_groupresults
SBER,,Sber,financial_reports_page,https://www.sberbank.com/investor-relations/groupresults,Sber official group results page,financial_reports_page,MIXED,,,page,6,true,official issuer page; verified_http_200=2026-06-28
