ticker,company_name,fiscal_year,period,year_status,metric,line_item_std,currency,official_ifrs_value,smartlab_value,selected_value,source_status,conflict_flag,needs_manual_review,selected_reason,official_fact_role,source_url,quality_score
SBER,Sber,2020,2020H1,stale,revenue,revenue,RUB,708200000000.0,nan,708200000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,net_income,net_income,RUB,287200000000.0,nan,287200000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,total_assets,total_assets,RUB,32383400000000.0,nan,32383400000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,total_equity,total_equity,RUB,4827600000000.0,nan,4827600000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,total_debt,total_debt,RUB,1478700000000.0,nan,1478700000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,cash_and_equivalents,cash_and_equivalents,RUB,2567400000000.0,nan,2567400000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,operating_cash_flow,operating_cash_flow,RUB,460800000000.0,nan,460800000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,capex,capex,RUB,-64099999999.99999,nan,-64099999999.99999,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,free_cash_flow,free_cash_flow,RUB,396700000000.0,nan,396700000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
SBER,Sber,2020,2020H1,stale,dividends_paid,dividends_paid,RUB,1600000000.0,nan,1600000000.0,Official IFRS,False,False,,best_value,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,96.0
LKOH,Lukoil,2021,2021,stale,revenue,revenue,RUB,9435143000000.0,9435143000000.0,9435143000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,net_income,net_income,RUB,775513000000.0,775513000000.0,775513000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,total_assets,total_assets,RUB,6864749000000.0,6864749000000.0,6864749000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,total_equity,total_equity,RUB,4523184000000.0,4523184000000.0,4523184000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,total_debt,total_debt,RUB,757950000000.0,758000000000.0,757950000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,cash_and_equivalents,cash_and_equivalents,RUB,677482000000.0,677482000000.0,677482000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,operating_cash_flow,operating_cash_flow,RUB,1126614000000.0,1126614000000.0,1126614000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,capex,capex,RUB,-433042000000.0,433042000000.0,-433042000000.0,Conflict,True,True,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,free_cash_flow,free_cash_flow,RUB,693572000000.0,693572000000.0,693572000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
LKOH,Lukoil,2021,2021,stale,dividends_paid,dividends_paid,RUB,357672000000.0,nan,357672000000.0,Official IFRS,False,False,,best_value,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,96.0
PHOR,PhosAgro,2025,2025,newer_than_target,revenue,revenue,RUB,573628000000.0,573600000000.0,573628000000.0,Official IFRS,False,False,,best_value,https://cdn.phosagro.com/upload/iblock/92d/j3831nr7hhuejv3w2m888g075kwfw3px.pdf,96.0
PHOR,PhosAgro,2025,2025,newer_than_target,net_income,net_income,RUB,114243000000.0,nan,114243000000.0,Official IFRS,False,False,,best_value,https://cdn.phosagro.com/upload/iblock/92d/j3831nr7hhuejv3w2m888g075kwfw3px.pdf,96.0
PHOR,PhosAgro,2025,2025,newer_than_target,total_assets,total_assets,RUB,663888000000.0,663900000000.0,663888000000.0,Official IFRS,False,False,,best_value,https://cdn.phosagro.com/upload/iblock/92d/j3831nr7hhuejv3w2m888g075kwfw3px.pdf,96.0
