ticker,issuer_name,document_title,document_type,reporting_standard,fiscal_year,period,source_url,document_url,confidence,discovery_method,url_status,looks_like_pdf_or_xlsx,looks_like_official_report,is_ifrs_candidate,audit_status,audit_reason
AFLT,Aeroflot,Aeroflot official financial results page,financial_reports_page,MIXED,,,https://ir.aeroflot.ru/en/financial-information/financial-results/,,,financial_reports_page,404,False,True,False,failed,http_error_or_error_page http=404
CHMF,Severstal,Severstal official annual reports page,financial_reports_page,MIXED,,,https://severstal.com/eng/ir/indicators-reporting/annual-reports/,,,financial_reports_page,200,False,False,False,rejected,presentation_or_press_release_not_ifrs
CHMF,Severstal,Severstal official financial results page,financial_reports_page,MIXED,,,https://severstal.com/eng/ir/indicators-reporting/financial-results/,,,financial_reports_page,200,False,True,False,needs_review,official report page but IFRS markers not explicit; http=200; content_type=text/html; charset=UTF-8
CHMF,Severstal,Severstal official financial and operating data 4Q 2021,IFRS annual,IFRS,2021.0,2021,https://severstal.com/upload/iblock/e1d/Financial_and_Operating_data_SVST_4Q_21.xlsx,,,report_xlsx,200,True,True,True,ok,official host; IFRS/report markers; http=200; content_type=application/octet-stream
FEES,Rosseti,Rosseti annual financial statements 2023,IFRS annual,IFRS,2023.0,2023,https://e-disclosure.ru/portal/FileLoad.ashx?Fileid=1828391,,,manual_report,200,False,True,True,ok,official host; IFRS/report markers; http=200; content_type=application/octet-stream
GMKN,Nornickel,Nornickel official financial statements page,financial_reports_page,MIXED,,,https://nornickel.com/investors/disclosure/financials/,,,financial_reports_page,200,False,True,False,needs_review,official report page but IFRS markers not explicit; http=200; content_type=text/html; charset=UTF-8
LKOH,Lukoil,Lukoil official financial reports page,financial_reports_page,MIXED,,,https://www.lukoil.com/InvestorAndShareholderCenter/FinancialReports,,,financial_reports_page,200,False,True,False,needs_review,official report page but IFRS markers not explicit; http=200; content_type=text/html; charset=utf-8
LKOH,Lukoil,Lukoil official IFRS financial statements 4Q 2021,IFRS annual,IFRS,2021.0,2021,https://www.lukoil.com/FileSystem/9/577500.pdf?dl=1,,,manual_report,200,True,True,True,ok,official host; IFRS/report markers; http=200; content_type=application/pdf
MGNT,Magnit,Magnit official results and reports page,financial_reports_page,MIXED,,,https://www.magnit.com/en/shareholders-and-investors/results-and-reports/,,,financial_reports_page,request_error,False,True,False,failed,"request_error: HTTPSConnectionPool(host='www.magnit.com', port=443): Max retries exceeded with url: /en/shareholders-and-investors/results-and-reports/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))"
MOEX,Moscow Exchange,MOEX official financial results page,financial_reports_page,MIXED,,,https://www.moex.com/s1355,,,financial_reports_page,200,False,True,False,needs_review,official report page but IFRS markers not explicit; http=200; content_type=text/html; charset=utf-8
MOEX,Moscow Exchange,MOEX official IFRS financial statements FY 2025,IFRS annual,IFRS,2025.0,2025,https://fs.moex.com/f/23629/summary-micex-rts-fs-fs-4q2025-eng.pdf,,,manual_report,200,True,True,True,ok,official host; IFRS/report markers; http=200; content_type=application/pdf
