ticker,year,paid_next,dps_next,p_hat,dps_hat
1332,2016,1,3.5,0.9811423679738144,3.9664121146072024
1333,2016,1,45.0,0.991037881071243,33.544022839024976
1605,2016,1,9.0,0.9910061919927645,11.45112351630103
1721,2016,1,20.0,0.9955713659006893,29.330802095948332
1801,2016,1,12.0,0.993635188564981,8.784073587040329
1802,2016,1,19.0,0.9932939822348897,14.552538668988115
1803,2016,1,21.0,0.9957682177636673,12.751403947317089
1808,2016,1,30.0,0.9928659273141587,16.974342156830524
1812,2016,1,13.0,0.9958467519133233,11.480510609864528
1925,2016,1,52.0,0.9966929433902085,36.018530399574054
1928,2016,1,32.0,0.9975858221929977,23.487219436956586
1963,2016,1,30.0,0.9951479731435791,31.71280980846188
2002,2016,1,13.0,0.997022240703963,11.734811243740669
2212,2016,1,23.0,0.9958442595236405,17.66955506360129
2267,2016,1,16.0,0.9963276716529789,22.78695690823914
2269,2016,1,65.0,0.9956116610983552,52.07805370404312
2282,2016,1,52.0,0.9971387723892386,29.02013006351653
2413,2016,1,10.0,0.9942236427971042,10.010581168275474
2432,2016,1,32.0,0.997698505010003,28.383143497010472
2501,2016,1,40.0,0.9912134678377617,38.50561206460507
2502,2016,1,45.0,0.9970451765235792,35.91631671552406
2503,2016,1,25.5,0.9917580942886445,29.493276743703305
2531,2016,1,13.0,0.9915344060849723,11.252225204529239
2768,2016,1,4.0,0.9686988822670134,3.05889143007108
2801,2016,1,18.0,0.9941983341092911,25.2247129239123
2802,2016,1,15.0,0.9948933156171216,26.033174968287586
2871,2016,1,16.0,0.9968490630414825,13.300541499541218
2914,2016,1,70.0,0.9956668029540149,41.93306898047704
3088,2016,1,50.0,0.9958531821873782,43.34444575440206
3092,2016,1,16.0,0.988046959452828,11.301158469365614
3099,2016,1,6.0,0.9969748394033763,9.15891417275128
3101,2016,1,3.5,0.9822210618451549,3.7430573982076774
3103,2016,0,0.0,0.1430033094185263,2.4077914756648022
3105,2016,1,15.0,0.9936524194899049,8.922113196051644
3231,2016,1,35.0,0.9969759002987134,27.230713642630946
3289,2016,1,6.5,0.9859612607503545,8.189841569110305
3382,2016,1,45.0,0.9964460028830318,35.96337784059732
3401,2016,1,30.0,0.9948563558997477,17.996463371569728
3402,2016,1,7.0,0.9952399410132309,7.027173817589736
3405,2016,1,22.0,0.9974962252445747,20.58624487596869
3407,2016,1,14.0,0.9961255785454866,9.939113637688367
3436,2016,1,18.0,0.9914476492078969,6.585146868032589
3659,2016,0,0.0,0.8346068157439428,10.130072133439311
3861,2016,1,5.0,0.9833467916210966,4.704902692644329
3863,2016,1,30.0,0.9689402984948986,29.033245698033426
3865,2016,1,6.0,0.9960131702451585,6.727281363272929
4004,2016,1,50.0,0.7097128520835273,21.350681269268723
4005,2016,1,7.0,0.9937012125532417,6.833462821774933
4021,2016,1,28.0,0.9973742963911375,33.085261608785274
4041,2016,1,6.0,0.9940423807113803,7.180995695482262
4042,2016,1,16.5,0.9933901723030948,9.798365369575595
4043,2016,0,0.0,0.06760901227171229,3.7529974822006036
4061,2016,1,7.0,0.9948731843203282,6.237184665188549
4063,2016,1,60.0,0.9974200556299736,64.27113499994923
4151,2016,1,14.5,0.9961983437630084,17.23619383244639
4183,2016,1,9.0,0.9886423796729606,4.870137440581008
4188,2016,1,12.0,0.9950663707991093,7.665947160585435
4208,2016,1,6.0,0.9881499160822712,4.734162003190212
4272,2016,1,17.5,0.9926458222524197,12.64897764054762
4324,2016,1,45.0,0.9961254384187828,53.86549696259159
4452,2016,1,56.0,0.9970231508196833,57.129677260801586
4502,2016,1,90.0,0.995271692485515,89.17903238024486
4503,2016,1,17.0,0.9961420815990769,20.232284631141972
4506,2016,1,11.0,0.9946643649647705,12.401449172790535
4507,2016,1,38.0,0.9970718836146775,46.52447887972677
4519,2016,1,33.0,0.9735579553960841,29.756599604171196
4523,2016,1,80.0,0.9892049776442566,56.54620794955421
4543,2016,1,22.0,0.990899845156918,23.867292943501823
4568,2016,1,35.0,0.9914152415823352,28.872807146016143
4578,2016,1,50.0,0.996090586394266,65.12362327333065
4689,2016,1,8.86,0.9964975778710901,9.65713579438954
4704,2016,1,149.0,0.9969683704896739,115.49114906479018
4751,2016,1,32.0,0.9968290061539624,64.58047998253586
4755,2016,1,4.5,0.9824257581219208,5.550860038314972
4901,2016,1,35.0,0.9970189871428803,40.6871879020768
4902,2016,1,15.0,0.993049388749056,9.30829140782075
4911,2016,1,15.0,0.9969034582496508,19.614136774357963
5019,2016,1,25.0,0.9851616411182111,17.4871741309785
5020,2016,1,8.0,0.8560951011162208,6.569176900743446
5101,2016,1,31.0,0.9954189378604318,27.413469169109675
5108,2016,1,80.0,0.995888418366573,72.61914441607777
5201,2016,1,55.0,0.9933048290253786,7.896371971695614
5202,2016,0,0.0,0.20999022972272252,5.252156174242709
5214,2016,1,50.0,0.9911853691610456,5.694190796939955
5232,2016,1,5.0,0.9967858869425317,3.997364733042363
5233,2016,1,3.0,0.9778857145529075,4.154377675236021
5301,2016,1,6.0,0.9814047513734518,3.601834775765574
5332,2016,1,34.0,0.997078572620038,50.424191091687625
5333,2016,1,20.0,0.9955926991995186,20.160350351620597
5401,2016,1,45.0,0.9963321045169949,22.639659115795858
5406,2016,0,0.0,0.28135960272428784,4.878139375519855
5411,2016,1,30.0,0.9602280211829632,17.59253533938243
5541,2016,0,0.0,0.065593000671972,4.536667193255039
5631,2016,1,12.5,0.9882014243810257,5.3022656440162415
