ticker,year,paid_next,dps_next,p_hat,dps_hat
1332,2016,1,3.5,0.8988367,5.0611362
1333,2016,1,45.0,0.995546,29.59528
1605,2016,1,9.0,0.84260154,10.80015
1721,2016,1,20.0,0.9969284,21.91344
1801,2016,1,12.0,0.9906296,7.2157445
1802,2016,1,19.0,0.9867178,13.949189
1803,2016,1,21.0,0.98874193,10.477195
1808,2016,1,30.0,0.9157541,16.230152
1812,2016,1,13.0,0.9908976,10.713254
1925,2016,1,52.0,0.9958014,32.748886
1928,2016,1,32.0,0.99845254,27.543404
1963,2016,1,30.0,0.98786956,31.56484
2002,2016,1,13.0,0.9967098,14.584526
2212,2016,1,23.0,0.99035066,20.64388
2267,2016,1,16.0,0.99661034,24.367487
2269,2016,1,65.0,0.98406756,49.66095
2282,2016,1,52.0,0.99748755,35.23852
2413,2016,1,10.0,0.9905509,12.013929
2432,2016,1,32.0,0.9961358,22.561428
2501,2016,1,40.0,0.99283844,45.31563
2502,2016,1,45.0,0.9921285,35.82381
2503,2016,1,25.5,0.97169995,20.344423
2531,2016,1,13.0,0.9973863,11.15062
2768,2016,1,4.0,0.91808844,3.297318
2801,2016,1,18.0,0.99047416,26.55539
2802,2016,1,15.0,0.8961762,26.40856
2871,2016,1,16.0,0.9980557,15.847589
2914,2016,1,70.0,0.978966,54.312347
3088,2016,1,50.0,0.998638,42.10904
3092,2016,1,16.0,0.9833372,39.22414
3099,2016,1,6.0,0.9902442,8.336296
3101,2016,1,3.5,0.9669319,4.108846
3103,2016,0,0.0,0.0538226,3.4389498
3105,2016,1,15.0,0.99810433,9.774202
3231,2016,1,35.0,0.99800473,21.999529
3289,2016,1,6.5,0.94295096,7.6306405
3382,2016,1,45.0,0.99032813,36.481026
3401,2016,1,30.0,0.98986036,11.981632
3402,2016,1,7.0,0.9977664,6.5547986
3405,2016,1,22.0,0.99678457,21.398088
3407,2016,1,14.0,0.9950537,9.734045
3436,2016,1,18.0,0.9835844,6.527213
3659,2016,0,0.0,0.2729806,12.159352
3861,2016,1,5.0,0.977967,5.306299
3863,2016,1,30.0,0.8816262,25.42327
3865,2016,1,6.0,0.99680114,6.277564
4004,2016,1,50.0,0.39862022,24.1023
4005,2016,1,7.0,0.97017473,5.63629
4021,2016,1,28.0,0.99363106,32.2505
4041,2016,1,6.0,0.97725576,6.9172873
4042,2016,1,16.5,0.9703801,9.09985
4043,2016,0,0.0,0.30148432,3.9219139
4061,2016,1,7.0,0.9960647,7.480798
4063,2016,1,60.0,0.99561477,72.362686
4151,2016,1,14.5,0.9889417,12.833142
4183,2016,1,9.0,0.9795337,4.309092
4188,2016,1,12.0,0.9972299,9.033023
4208,2016,1,6.0,0.9758253,4.2529745
4272,2016,1,17.5,0.9967097,16.250605
4324,2016,1,45.0,0.98234636,58.276585
4452,2016,1,56.0,0.9380921,64.26873
4502,2016,1,90.0,0.8981591,77.6609
4503,2016,1,17.0,0.9919213,21.334913
4506,2016,1,11.0,0.99725926,13.213679
4507,2016,1,38.0,0.9949444,42.5704
4519,2016,1,33.0,0.97795576,30.817448
4523,2016,1,80.0,0.979265,59.60904
4543,2016,1,22.0,0.9956312,21.203312
4568,2016,1,35.0,0.9686969,30.95549
4578,2016,1,50.0,0.98939496,59.476963
4689,2016,1,8.86,0.9834019,8.212113
4704,2016,1,149.0,0.9705203,106.3519
4751,2016,1,32.0,0.9936724,57.27344
4755,2016,1,4.5,0.9374358,6.524653
4901,2016,1,35.0,0.99644756,34.369
4902,2016,1,15.0,0.96783185,10.466451
4911,2016,1,15.0,0.9989317,21.268078
5019,2016,1,25.0,0.8347932,17.035595
5020,2016,1,8.0,0.89591825,6.6106777
5101,2016,1,31.0,0.98609805,26.76181
5108,2016,1,80.0,0.98386997,68.48731
5201,2016,1,55.0,0.98059124,7.588657
5202,2016,0,0.0,0.03254674,6.2728615
5214,2016,1,50.0,0.9460619,6.206266
5232,2016,1,5.0,0.9820987,4.739155
5233,2016,1,3.0,0.9602542,3.7239354
5301,2016,1,6.0,0.9045081,3.8384416
5332,2016,1,34.0,0.9979037,43.69417
5333,2016,1,20.0,0.99011654,18.648203
5401,2016,1,45.0,0.99515814,20.120846
5406,2016,0,0.0,0.09221938,4.2860103
5411,2016,1,30.0,0.84823465,16.580818
5541,2016,0,0.0,0.1981301,6.6085277
5631,2016,1,12.5,0.9733315,7.0156937
5703,2016,1,5.0,0.9942972,4.167787
5706,2016,1,7.0,0.8582971,3.9927778
5707,2016,1,10.0,0.8900014,6.892436
5711,2016,1,40.0,0.9760415,11.710253
