ticker,year,paid_next,dps_next,p_hat,dps_hat
ABIO,2016,0,0.0,0.013037853534102185,0.2485804632755347
ABRD,2016,1,4.2,0.8731593737281151,1.5693725981032944
AFKS,2016,1,1.49,0.9525338590551738,1.0608876070199103
AFLT,2016,1,17.48,0.9766951344493562,33.44228896221612
AKRN,2016,1,330.0,0.972693834196518,192.61612127364498
ALRS,2016,1,8.93,0.9838805389383128,17.52014376114007
AMEZ,2016,0,0.0,0.03190024566598038,1.2224783590855604
APTK,2016,0,0.0,0.08597790419497914,0.8780055601178133
AQUA,2016,0,0.0,0.21099866523811067,3.7575907878877812
ARSA,2016,0,0.0,0.047834064250341174,0.47788004075220664
AVAN,2016,1,15.69,0.048073447739882764,19.353060960048282
BANE,2016,1,148.31,0.9846740005363976,313.6442113122221
BANEP,2016,1,148.41,0.980176171186704,137.77434134239147
BELU,2016,0,0.0,0.07887744571328736,24.385478254157945
BLNG,2016,0,0.0,0.06064368585938301,0.114978892760486
BSPB,2016,1,1.28,0.9334524239311834,1.889522422654453
BSPBP,2016,0,0.0,0.04688573684133313,2.581862576892741
CBOM,2016,0,0.0,0.05513543849115134,1.2665985278057752
CHMF,2016,1,82.33,0.9784902398724147,38.37228650104221
CNTL,2016,0,0.0,0.03589916320843786,0.7489385877138884
CNTLP,2016,0,0.0,0.022660057561022844,0.05012287598108748
DIOD,2016,0,0.0,0.027853439503605554,0.0
DVEC,2016,0,0.0,0.04361659161830343,0.13131414882099618
EELT,2016,0,0.0,0.009161102722357782,1.436085083902337
ELFV,2016,0,0.0,0.35541596533990505,0.16062605502683916
ENPG,2016,0,0.0,0.2266904132413458,17.624205788518662
ENRU,2016,0,0.0,0.4547898308535093,0.2775584426947721
ETLN,2016,0,0.0,0.03522556738680509,7.112150641509789
FEES,2016,0,0.0,0.9747513567976284,0.6119599570833264
FESH,2016,0,0.0,0.023400549675238896,0.0
FLOT,2016,0,0.0,0.052375559825603366,11.76804754070525
GAZA,2016,0,0.0,0.023680908642477575,39.24682863901916
GAZAP,2016,0,0.0,0.020321246833237026,36.63099275404925
GAZP,2016,1,8.04,0.9839752900091889,5.85983121572228
GCHE,2016,1,108.76,0.9476222448575443,59.46022648340626
GMKN,2016,1,670.3,0.9713211662711062,308.474207618163
GTRK,2016,0,0.0,0.011528922946448935,15.720480281121008
HEAD,2016,0,0.0,0.01864866951375184,0.6104678486496641
HIMCP,2016,0,0.0,0.011557392928001032,1.104671840371012
HYDR,2016,1,0.05,0.9746563290346832,0.17779354739425948
IRAO,2016,1,0.15,0.9772216081989853,0.991337424158238
IRKT,2016,1,1.75,0.7548695191740994,0.754062496904254
KAZT,2016,1,4.02,0.9498648454884652,9.474453768349212
KAZTP,2016,0,0.0,0.02573006883662334,6.94919753955682
KBSB,2016,0,0.0,0.01418466876586652,1.6930091555558868
KCHE,2016,0,0.0,0.032254807051044464,0.0
KCHEP,2016,0,0.0,0.010736650369036437,0.0
KFBA,2016,0,0.0,0.012654946121424098,5.000877120901502
KGKC,2016,0,0.0,0.011636126412874903,0.5520673822206428
KGKCP,2016,0,0.0,0.008037620758451635,0.7113836436817716
KLSB,2016,0,0.0,0.044788076991585685,1.0908165721190488
KMAZ,2016,1,1.13,0.953575805275677,1.2238576186350327
KMEZ,2016,0,0.0,0.036533948045425216,6.719802883606456
KROT,2016,0,0.0,0.02058173646501732,5.45966457294877
KROTP,2016,0,0.0,0.010806409584721672,2.11198789843818
KZOS,2016,1,7.87,0.9136252176091773,12.264591259891132
KZOSP,2016,0,0.0,0.02378821081560846,1.9863816308171716
LENT,2016,0,0.0,0.5487628109344712,32.054607645641866
LIFE,2016,0,0.0,0.01627111527155746,0.0
LKOH,2016,1,205.0,0.9801332937848604,532.5243511193954
LNZL,2016,0,0.0,0.12918040843038844,791.2190835488175
LNZLP,2016,0,0.0,0.03344412574775783,505.05461581584854
LPSB,2016,0,0.0,0.011013108801633292,0.19760724385822317
LSNG,2016,1,0.12,0.8688576058318788,0.23182482903674775
LSNGP,2016,0,0.0,0.032722862360748034,1.2054088509020289
LSRG,2016,1,40.0,0.9696999935622417,58.998638039302385
LVHK,2016,0,0.0,0.011586382234489333,0.502738612044358
MAGE,2016,0,0.0,0.015371374779116686,0.02621706732430188
MAGEP,2016,0,0.0,0.011621967816623831,0.10743686131962465
MAGN,2016,1,3.22,0.9788286698614633,3.8766176390297247
MBNK,2016,0,0.0,0.07131696585847268,1.5111894376106207
MDMG,2016,1,11.14,0.9616751620614633,23.89737745056824
MFON,2016,1,32.25,0.9726432668540925,32.062308720446396
MGNT,2016,1,182.92,0.9727884680200175,363.7378138409418
MGTS,2016,1,378.96,0.8982979688703628,105.11960627751263
MGTSP,2016,0,0.0,0.12639419474279232,26.941140984700866
MISB,2016,0,0.0,0.018353580125096663,2.953172614094779
MISBP,2016,0,0.0,0.01884346195612925,2.0433797924670865
MOEX,2016,1,10.17,0.9795730556628511,3.0972013160002563
MRKC,2016,1,0.02,0.9540202541905011,0.28679810515578374
MRKK,2016,0,0.0,0.2724396624173409,1.6351048122770766
MRKP,2016,1,0.08,0.9600779541340069,0.40577812855092427
MRKS,2016,1,0.01,0.6855967454686653,0.18858868314174684
