ticker,year,paid_next,dps_next,p_hat,dps_hat
ABIO,2016,0,0.0,0.03771578126087068,4.093049362878077
ABRD,2016,1,4.2,0.9392474092759086,47.46712162364364
AFKS,2016,1,1.49,0.9992462292648265,92.43028802235406
AFLT,2016,1,17.48,0.9901617807576047,235.1458035559603
AKRN,2016,1,330.0,0.9995158989114575,131.6367271819596
ALRS,2016,1,8.93,0.9999366372241052,79.9726288410594
AMEZ,2016,0,0.0,0.002654129338275701,5.241511075269316
APTK,2016,0,0.0,0.043653522818656094,4.806215342096725
AQUA,2016,0,0.0,0.09663588457723261,99.40756154156989
ARSA,2016,0,0.0,0.01647601634738589,0.0
AVAN,2016,1,15.69,0.0006311819330324655,0.0
BANE,2016,1,148.31,0.9996400537792691,11.668132814542984
BANEP,2016,1,148.41,0.999686185907425,10.366004898779307
BELU,2016,0,0.0,0.1116278746429791,8.841012600815251
BLNG,2016,0,0.0,0.03588087184898169,0.4334120935060368
BSPB,2016,1,1.28,0.9998892720337791,9.472237700116185
BSPBP,2016,0,0.0,0.08696681184132811,4.8687455435803795
CBOM,2016,0,0.0,0.037612181894238046,0.0
CHMF,2016,1,82.33,0.9999598870842349,184.3211346242856
CNTL,2016,0,0.0,0.035800681543013135,6.703080237078187
CNTLP,2016,0,0.0,0.027082735054977946,3.8845227671872053
DIOD,2016,0,0.0,0.010683852488661081,5.341061684258926
DVEC,2016,0,0.0,0.14163218765301816,0.0
EELT,2016,0,0.0,0.08375836018758037,2.794851799702003
ELFV,2016,0,0.0,0.1553268803998139,8.681311021250181
ENPG,2016,0,0.0,0.4479237211467353,12.512347823727117
ENRU,2016,0,0.0,0.043608698754699714,6.138883253528168
ETLN,2016,0,0.0,0.2648803322165847,4.269441962671775
FEES,2016,0,0.0,0.9471138899761393,3.638310079269342
FESH,2016,0,0.0,0.027619330146537512,11.931306060734425
FLOT,2016,0,0.0,0.7144035649794941,0.0
GAZA,2016,0,0.0,0.22056764305171656,0.0
GAZAP,2016,0,0.0,0.062345700479312136,0.0
GAZP,2016,1,8.04,0.9999996388816376,217.53923961167578
GCHE,2016,1,108.76,0.9998056282209882,31.16381073050511
GMKN,2016,1,670.3,0.9998801014848462,5856.0229738401695
GTRK,2016,0,0.0,0.19409986997428263,6.915445475983685
HEAD,2016,0,0.0,0.23518824484368922,8.53859053861035
HIMCP,2016,0,0.0,0.00040556432926054534,6.748925636162163
HYDR,2016,1,0.05,0.9986806309902713,15.797278347750582
IRAO,2016,1,0.15,0.9984727796327862,25.647890850205727
IRKT,2016,1,1.75,0.9988318221333605,2.533519994148949
KAZT,2016,1,4.02,0.999758147787561,20.5987291825488
KAZTP,2016,0,0.0,0.40236044270445787,36.907016030604005
KBSB,2016,0,0.0,0.0348393490262453,0.9338714778080088
KCHE,2016,0,0.0,0.015124134549895314,0.0
KCHEP,2016,0,0.0,0.0033452372999194227,0.0
KFBA,2016,0,0.0,0.037993724220175225,2.6863855850052865
KGKC,2016,0,0.0,0.0026684656755115188,0.0
KGKCP,2016,0,0.0,0.050269980023849054,2.630258132093382
KLSB,2016,0,0.0,0.012972752586376958,0.0
KMAZ,2016,1,1.13,0.925920415329888,22.44837585751441
KMEZ,2016,0,0.0,0.05923808113743141,2.8563199805948725
KROT,2016,0,0.0,0.01539490510325685,1.2542546662473948
KROTP,2016,0,0.0,0.015008040594914222,0.5317142245952944
KZOS,2016,1,7.87,0.999912953937935,287.43235174749316
KZOSP,2016,0,0.0,0.03702737111030946,40.43756454143127
LENT,2016,0,0.0,0.31190368465027485,21.64484775669998
LIFE,2016,0,0.0,0.01608128014153022,0.6102189099089275
LKOH,2016,1,205.0,0.9999999815574193,603.4121493542616
LNZL,2016,0,0.0,0.6312004992067571,733.2628759570393
LNZLP,2016,0,0.0,0.09685204143580557,23.37979651606875
LPSB,2016,0,0.0,0.004358035243586324,0.0
LSNG,2016,1,0.12,0.8809016803462731,22.593342018765448
LSNGP,2016,0,0.0,0.007550404185722477,2.512872670774021
LSRG,2016,1,40.0,0.9999459552291753,46.200153880602
LVHK,2016,0,0.0,0.06451041453158934,0.0
