ticker,year,paid_next,dps_next,p_hat,dps_hat
ABIO,2016,0,0.0,0.023598600457374073,0.6660839287331359
ABRD,2016,1,4.2,0.5006094274845931,2.6789341348902416
AFKS,2016,1,1.49,0.8550361348441213,1.5849197139955662
AFLT,2016,1,17.48,0.7793577977875625,53.21738739535401
AKRN,2016,1,330.0,0.8283137613646049,181.32238897797637
ALRS,2016,1,8.93,0.8696974364377762,13.191113973868084
AMEZ,2016,0,0.0,0.09376495018113257,1.121022417449524
APTK,2016,0,0.0,0.16987668436611483,0.6482196195152455
AQUA,2016,0,0.0,0.22486464111574747,24.90795716170871
ARSA,2016,0,0.0,0.1054299343524405,0.9763440294540182
AVAN,2016,1,15.69,0.1974909717893915,14.175840810663157
BANE,2016,1,148.31,0.904802011256745,171.11974841442273
BANEP,2016,1,148.41,0.8961711232775581,116.59693529432126
BELU,2016,0,0.0,0.15284748416378263,16.696448359749166
BLNG,2016,0,0.0,0.06513493119224281,0.4521847183710438
BSPB,2016,1,1.28,0.7227455475513603,2.3935723532243824
BSPBP,2016,0,0.0,0.08358298319011885,2.1158201394737284
CBOM,2016,0,0.0,0.1679983321930047,0.7820837779913028
CHMF,2016,1,82.33,0.8643988151610945,40.27484184017567
CNTL,2016,0,0.0,0.03703466937069822,1.394181827294301
CNTLP,2016,0,0.0,0.03366375979316695,0.4248165178637233
DIOD,2016,0,0.0,0.050133089919175165,0.29467835024307726
DVEC,2016,0,0.0,0.17034233466415774,0.035824030689985416
EELT,2016,0,0.0,0.022124398248814695,2.296713111515624
ELFV,2016,0,0.0,0.33117766005394694,0.060903509807236626
ENPG,2016,0,0.0,0.2288781374358896,15.181850249115563
ENRU,2016,0,0.0,0.3089875058371053,0.07763451196765778
ETLN,2016,0,0.0,0.14070184450788104,5.8026605740049835
FEES,2016,0,0.0,0.8303019808584612,0.23148017590328882
FESH,2016,0,0.0,0.16648458921846854,0.2018910178310376
FLOT,2016,0,0.0,0.21028369283057435,3.285094645870701
GAZA,2016,0,0.0,0.17314807783037467,31.472392286877366
GAZAP,2016,0,0.0,0.13306610329693275,34.81500503337915
GAZP,2016,1,8.04,0.9253910136431103,5.729567377331432
GCHE,2016,1,108.76,0.7563008727168811,28.129087653577443
GMKN,2016,1,670.3,0.8839821273752306,157.11595659870474
GTRK,2016,0,0.0,0.05061750146432829,5.143909875894816
HEAD,2016,0,0.0,0.06023597552344913,1.3601887082814903
HIMCP,2016,0,0.0,0.047899906686073086,0.7889548391024123
HYDR,2016,1,0.05,0.8937252514458103,0.10965058158085358
IRAO,2016,1,0.15,0.7637510379509779,0.47114645533060845
IRKT,2016,1,1.75,0.7188336764058646,0.5884897304279643
KAZT,2016,1,4.02,0.7342876857175029,4.84546286494827
KAZTP,2016,0,0.0,0.11880537917032902,3.9608244212882497
KBSB,2016,0,0.0,0.06691657311494825,3.57592671611337
KCHE,2016,0,0.0,0.07276906380468759,0.038572129210404024
KCHEP,2016,0,0.0,0.025650023788741646,0.03468414107866365
KFBA,2016,0,0.0,0.03276662169503604,6.678983682764351
KGKC,2016,0,0.0,0.037059752273401185,1.8360433628085149
KGKCP,2016,0,0.0,0.04392656851678847,1.6333049961373591
KLSB,2016,0,0.0,0.09031142653747512,1.6349231148927537
KMAZ,2016,1,1.13,0.6749545637024633,5.899188806030044
KMEZ,2016,0,0.0,0.06955523338497761,8.021015084345201
KROT,2016,0,0.0,0.034986950723828084,7.923735588730582
KROTP,2016,0,0.0,0.03282716804325904,3.094676234295326
KZOS,2016,1,7.87,0.786332636467192,6.316352759421695
KZOSP,2016,0,0.0,0.1489125336993097,1.2698462725516635
LENT,2016,0,0.0,0.276048416375795,29.39893553371234
LIFE,2016,0,0.0,0.028513010611327584,0.7832668103394381
LKOH,2016,1,205.0,0.878628108903418,165.5572588585094
LNZL,2016,0,0.0,0.2442663317438465,538.8094887194338
LNZLP,2016,0,0.0,0.14482229366178767,415.28089955771475
LPSB,2016,0,0.0,0.04827963580328194,0.1996908722656523
LSNG,2016,1,0.12,0.6649988392929188,0.4389034055336887
LSNGP,2016,0,0.0,0.2717635039736614,3.281401596801139
LSRG,2016,1,40.0,0.8202743773471367,46.80326201283143
LVHK,2016,0,0.0,0.034351438921028696,0.7503465499943542
MAGE,2016,0,0.0,0.0167663093019683,0.18256074356590782
MAGEP,2016,0,0.0,0.007147312950420885,0.11435451707578521
MAGN,2016,1,3.22,0.8460662303338955,3.5185437599899863
MBNK,2016,0,0.0,0.10555863246607781,1.1158751769380877
MDMG,2016,1,11.14,0.8187710217692374,15.969829813222399
MFON,2016,1,32.25,0.8798011983451873,46.61229039537789
MGNT,2016,1,182.92,0.7749895944504533,290.2600102674356
MGTS,2016,1,378.96,0.6129737325285044,51.542588800867854
MGTSP,2016,0,0.0,0.19972217904171782,39.024917607214306
MISB,2016,0,0.0,0.06293667509998135,0.6726035870984225
MISBP,2016,0,0.0,0.05473869556479571,0.6822237418548404
