ticker,year,paid_next,dps_next,p_hat,dps_hat
ABIO,2016,0,0.0,0.00078103447,0.9841072
ABRD,2016,1,4.2,0.94425493,2.721698
AFKS,2016,1,1.49,0.9800829,0.9533686
AFLT,2016,1,17.48,0.99619126,71.71115
AKRN,2016,1,330.0,0.99854124,90.504745
ALRS,2016,1,8.93,0.99880266,22.217882
AMEZ,2016,0,0.0,0.024346111,1.3919774
APTK,2016,0,0.0,0.012973378,0.6601403
AQUA,2016,0,0.0,0.06620899,16.242657
ARSA,2016,0,0.0,0.013895007,1.829225
AVAN,2016,1,15.69,0.025001066,6.3405724
BANE,2016,1,148.31,0.99977285,224.35092
BANEP,2016,1,148.41,0.99966574,145.5762
BELU,2016,0,0.0,0.004877317,11.954702
BLNG,2016,0,0.0,0.0034700755,0.21235453
BSPB,2016,1,1.28,0.98750824,2.6059873
BSPBP,2016,0,0.0,0.0028855049,2.7284966
CBOM,2016,0,0.0,0.016031073,1.1174552
CHMF,2016,1,82.33,0.9985435,33.261795
CNTL,2016,0,0.0,0.0025772487,1.2242193
CNTLP,2016,0,0.0,0.0046869293,0.7728711
DIOD,2016,0,0.0,0.0038967212,0.4240561
DVEC,2016,0,0.0,0.0064388867,0.15819083
EELT,2016,0,0.0,0.00014047221,2.0371802
ELFV,2016,0,0.0,0.7292627,0.1461087
ENPG,2016,0,0.0,0.107251905,13.305861
ENRU,2016,0,0.0,0.4292234,0.33588612
ETLN,2016,0,0.0,0.0072213607,4.6671968
FEES,2016,0,0.0,0.99815625,0.6461041
FESH,2016,0,0.0,0.016910054,0.21852866
FLOT,2016,0,0.0,0.019081064,3.7646801
GAZA,2016,0,0.0,0.028812533,16.845009
GAZAP,2016,0,0.0,0.024016552,20.719637
GAZP,2016,1,8.04,0.9993136,7.0834746
GCHE,2016,1,108.76,0.97038233,20.81792
GMKN,2016,1,670.3,0.99832124,442.7573
GTRK,2016,0,0.0,0.0017060344,5.6402154
HEAD,2016,0,0.0,0.0046664467,0.7840898
HIMCP,2016,0,0.0,0.00097277097,1.8533684
HYDR,2016,1,0.05,0.9984426,0.35627344
IRAO,2016,1,0.15,0.99773186,1.3344179
IRKT,2016,1,1.75,0.9705593,0.6620058
KAZT,2016,1,4.02,0.9934809,6.6932936
KAZTP,2016,0,0.0,0.008257875,5.1978564
KBSB,2016,0,0.0,0.0038016778,2.8226187
KCHE,2016,0,0.0,0.0022567026,0.06614994
KCHEP,2016,0,0.0,0.00035886574,0.034506258
KFBA,2016,0,0.0,0.00023559945,5.1584396
KGKC,2016,0,0.0,0.001172374,1.3445497
KGKCP,2016,0,0.0,0.00035533056,1.5244591
KLSB,2016,0,0.0,0.00429398,1.166546
KMAZ,2016,1,1.13,0.88608336,5.026254
KMEZ,2016,0,0.0,0.0045522638,7.5693994
KROT,2016,0,0.0,0.00053852226,2.9175131
KROTP,2016,0,0.0,0.0005153509,1.7150862
KZOS,2016,1,7.87,0.99606234,10.325675
KZOSP,2016,0,0.0,0.017039862,1.9955916
LENT,2016,0,0.0,0.1530813,43.495495
LIFE,2016,0,0.0,0.0007341176,0.90522885
LKOH,2016,1,205.0,0.9988477,205.64606
LNZL,2016,0,0.0,0.03763431,261.10574
LNZLP,2016,0,0.0,0.006485424,368.23322
LPSB,2016,0,0.0,0.0004987614,0.30383587
LSNG,2016,1,0.12,0.8878197,1.1016202
LSNGP,2016,0,0.0,0.0066471174,3.6653051
LSRG,2016,1,40.0,0.9976047,56.539936
LVHK,2016,0,0.0,0.00089474814,0.6495673
MAGE,2016,0,0.0,0.00035396463,0.008644838
MAGEP,2016,0,0.0,0.00029314833,0.026842305
MAGN,2016,1,3.22,0.997846,3.6583235
MBNK,2016,0,0.0,0.0023747266,0.78306884
MDMG,2016,1,11.14,0.9983265,13.269303
MFON,2016,1,32.25,0.99867225,44.988323
MGNT,2016,1,182.92,0.9972326,408.40668
MGTS,2016,1,378.96,0.9623303,67.543625
MGTSP,2016,0,0.0,0.022498857,35.95468
MISB,2016,0,0.0,0.0010847698,1.0970726
MISBP,2016,0,0.0,0.0008276157,1.1987443
MOEX,2016,1,10.17,0.9986552,5.4155188
MRKC,2016,1,0.02,0.99801683,0.7433775
MRKK,2016,0,0.0,0.02648686,1.4665757
MRKP,2016,1,0.08,0.9918234,0.89272624
MRKS,2016,1,0.01,0.95691776,0.0118761705
MRKU,2016,1,0.03,0.9951509,0.2608322
MRKV,2016,1,0.01,0.008414242,0.54254997
MRKY,2016,1,0.01,0.4421685,0.16985609
MRKZ,2016,0,0.0,0.9952839,0.10123846
MSNG,2016,1,0.08,0.9977585,0.4884688
MSRS,2016,1,0.03,0.9959921,0.11315102
MSTT,2016,1,19.09,0.9967691,7.4889197
MTLR,2016,0,0.0,0.38149333,8.383668
MTLRP,2016,1,5.14,0.89159966,7.3786106
MTSS,2016,1,35.52,0.99981123,25.245872
MVID,2016,0,0.0,0.9945635,33.270496
NKHP,2016,1,21.08,0.9312809,6.1129856
NKNC,2016,0,0.0,0.012424838,10.070606
NKNCP,2016,0,0.0,0.016086442,3.6328468
NKSH,2016,0,0.0,0.0010629679,0.21583346
NLMK,2016,1,9.18,0.99912053,8.977676
NMTP,2016,1,0.78,0.9974585,3.3573682
NNSB,2016,0,0.0,0.0012151934,27.977348
NNSBP,2016,0,0.0,0.0012023676,15.461702
NSVZ,2016,0,0.0,0.0033855233,2.6578767
NVTK,2016,1,12.94,0.9987662,23.097467
OGKB,2016,1,0.01,0.9879331,0.95378137
OKEY,2016,0,0.0,0.02610006,3.2885332
OMZZP,2016,0,0.0,0.98323935,18.70345
PHOR,2016,1,114.0,0.99868935,51.66815
PIKK,2016,1,25.44,0.52720016,25.20578
PLZL,2016,1,256.71,0.931884,21.543516
PMSB,2016,1,11.57,0.9811157,8.382471
PMSBP,2016,0,0.0,0.0028494773,5.449272
PRFN,2016,0,0.0,0.00072420744,0.8419449
PRMB,2016,1,707.15,0.2014972,478.4284
QIWI,2016,1,0.5700000000000001,0.95812714,17.274307
RAGR,2016,1,21.11,0.99298877,48.24402
RASP,2016,0,0.0,0.62417895,44.15875
RBCM,2016,0,0.0,0.0037844381,0.948326
RDRB,2016,1,13.61,0.009557432,5.657587
RGSS,2016,0,0.0,0.0010117057,1.3271214
RKKE,2016,0,0.0,0.6362628,292.604
RNFT,2016,0,0.0,0.29444906,40.209583
ROLO,2016,0,0.0,0.005633726,0.55900043
ROSN,2016,1,9.81,0.9987166,9.874703
ROSSETI,2016,0,0.0,0.057863705,4.1142464
ROST,2016,0,0.0,0.00246581,0.9005928
RTKM,2016,1,5.39,0.9971418,2.8752067
RTKMP,2016,1,5.39,0.9940958,2.9475713
RTSB,2016,0,0.0,0.5204501,0.17264646
RTSBP,2016,0,0.0,0.0011184738,0.2359859
RUAL,2016,1,1.7,0.9913024,1.9016364
RUSI,2016,0,0.0,0.0004112292,2.2937162
SBER,2016,1,15.0,0.9970874,4.33046
SBERP,2016,0,0.0,0.024510013,4.0123973
SELG,2016,0,0.0,0.22792217,1.5111135
SFIN,2016,1,30.87,0.10133164,10.154966
SIBN,2016,1,20.68,0.9810137,4.4987526
SLEN,2016,0,0.0,0.0023245146,2.3244605
SMLT,2016,0,0.0,0.38971883,30.785559
SNGS,2016,1,0.6,0.9984693,1.9596953
SNGSP,2016,1,0.6,0.9936433,4.2939124
SPBE,2016,0,0.0,0.0006228882,1.0684252
SVAV,2016,0,0.0,0.10111716,13.979312
SVET,2016,0,0.0,0.0053114924,14.361988
SVETP,2016,0,0.0,0.0053114924,14.361988
T,2016,0,0.0,0.013216483,24.894028
TATN,2016,0,0.0,0.9987835,19.421913
TATNP,2016,0,0.0,0.07553235,15.393052
TGKA,2016,0,0.0,0.040255886,0.7514702
TGKB,2016,1,0.0,0.9752005,0.39776814
TGKBP,2016,0,0.0,0.0042604594,0.27681905
TGKN,2016,0,0.0,0.0011981894,1.3074517
TNSE,2016,0,0.0,0.9855848,30.858522
TORS,2016,0,0.0,0.0018037665,0.54875726
TORSP,2016,0,0.0,0.001250534,0.55946916
TRMK,2016,1,1.96,0.99534947,2.083941
TRNFP,2016,0,0.0,0.045843545,20.768944
TTLK,2016,1,0.02,0.9832183,0.0
UKUZ,2016,0,0.0,0.003971834,16.228426
UNAC,2016,0,0.0,0.42777556,0.4867854
UPRO,2016,1,0.21,0.9979183,0.23988365
URKA,2016,0,0.0,0.1618031,4.382266
USBN,2016,0,0.0,0.00588079,0.51880234
UTAR,2016,0,0.0,0.006466234,0.9641345
UWGN,2016,0,0.0,0.008700611,9.3269
VKCO,2016,0,0.0,0.05912893,9.643349
VLHZ,2016,0,0.0,0.0057742787,2.5519152
VRSB,2016,0,0.0,0.0015265922,1.733554
VRSBP,2016,0,0.0,0.0013001473,1.6083779
VSMO,2016,1,1710.18,0.9973859,143.25594
VSYD,2016,0,0.0,0.005074492,194.87604
VSYDP,2016,0,0.0,0.021017067,387.66415
VTBR,2016,1,3.74,0.9983601,2.6896517
WTCM,2016,0,0.0,0.0023788863,0.35938543
WTCMP,2016,0,0.0,0.0011672615,0.27642888
X5,2016,0,0.0,0.0109176915,170.63089
YAKG,2016,1,0.21,0.98734194,1.4152123
YDEX,2016,0,0.0,0.0052203434,87.0563
YKEN,2016,0,0.0,0.004369251,0.0
YKENP,2016,0,0.0,0.0034684367,0.0
YRSB,2016,0,0.0,0.000931735,6.1240425
