ticker,sector,p_ens,dps_ens,dps_lo_conf,dps_hi_conf,stability,div_streak,current_dps,current_paid
ABIO,Здравоохранение,0.1624,4.4294,0.0,230.8866,0.0974,0,,0
ABRD,Потребительский сектор,0.7777,4.9204,0.0,231.3777,0.7743,10,5.01,1
AFKS,Конгломерат,0.156,0.7908,0.0,227.2481,0.0936,0,,0
AFLT,Транспорт,0.7642,3.3986,0.0,229.8558,0.5201,2,5.27,1
AKRN,Химия,0.7908,442.8133,407.2138,669.2706,0.8437,12,107.0,1
ALRS,Металлы и добыча,0.3697,2.5913,0.0,229.0486,0.2218,0,,0
AMEZ,Металлы и добыча,0.1624,34.2724,0.0,260.7297,0.0974,0,,0
APRI,Недвижимость,0.7014,0.7992,0.0,227.2565,0.4516,1,0.59169517257,1
APTK,Потребительский сектор,0.0994,0.7942,0.0,227.2514,0.0596,0,,0
AQUA,Потребительский сектор,0.8081,9.6622,0.0,236.1195,0.6695,6,10.0,1
ARSA,Финансы,0.7626,0.6155,0.0,227.0727,0.5191,2,0.15,1
ASSB,Энергетика,0.0879,0.2923,0.0,226.7495,0.0528,0,,0
ASTR,IT,0.6518,7.3903,0.0,233.8476,0.4526,2,5.792211637699999,1
AVAN,Финансы (Банки),0.8081,23.1336,0.0,249.5909,0.6695,6,21.07,1
BANE,Нефть и газ,0.8256,90.822,55.2225,317.2793,0.8646,12,147.31,1
BANEP,Нефть и газ,0.8386,50.0848,14.4853,276.542,0.8724,12,147.31,1
BAZA,Недвижимость,0.4669,7.3218,0.0,233.7791,0.2802,0,,0
BELU,Потребительский сектор,0.8517,100.9013,65.3018,327.3586,0.7264,7,25.0,1
BISVP,Телекоммуникации,0.7908,0.6786,0.0,227.1358,0.7206,8,0.974,1
BLNG,Металлы и добыча,0.0879,0.5956,0.0,227.0528,0.0528,0,,0
BRZL,Металлы и добыча,0.1019,113.2444,77.645,339.7017,0.0611,0,,0
BSPB,Финансы (Банки),0.8696,19.6591,0.0,246.1163,0.891,12,29.72,1
BSPBP,Финансы (Банки),0.7905,1.5814,0.0,228.0386,0.6589,6,0.22,1
CARM,Промышленность,0.12,0.2789,0.0,226.7362,0.072,0,,0
CBOM,Финансы (Банки),0.12,0.7541,0.0,227.2113,0.072,0,,0
CHGZ,Нефть и газ,0.0994,4.6303,0.0,231.0876,0.0596,0,,0
CHKZ,Промышленность,0.7777,424.7172,389.1177,651.1744,0.6205,5,720.0,1
CHMF,Металлы и добыча,0.2927,52.6374,17.0379,279.0946,0.1756,0,,0
CNRU,IT,0.1292,14.9575,0.0,241.4147,0.0775,0,,0
CNTL,Телекоммуникации,0.1943,0.6414,0.0,227.0986,0.1166,0,,0
CNTLP,Телекоммуникации,0.7908,0.4048,0.0,226.8621,0.6899,7,0.224,1
DATA,IT,0.6537,5.302,0.0,231.7593,0.4538,2,0.86,1
DELI,Потребительский сектор,0.1452,5.4768,0.0,231.934,0.0871,0,,0
DIAS,IT,0.6899,91.1219,55.5225,317.5792,0.4755,2,178.3,1
DIOD,Промышленность,0.6623,0.6848,0.0,227.1421,0.6435,8,0.84,1
DOMRF,Финансы,0.1624,76.7614,41.162,303.2187,0.0974,0,,0
DVEC,Энергетика,0.6543,0.1794,0.0,226.6367,0.4541,2,0.1666772938,1
DZRD,Промышленность,0.1938,281.8532,246.2538,508.3105,0.1163,0,,0
DZRDP,Промышленность,0.1624,147.1053,111.5059,373.5626,0.0974,0,,0
