ticker,year,sl_field,panel_col,panel_mln,smartlab_mln,ratio,action,currency,source
ABIO,2024,revenue,revenue_mln,1521.5,1520.0,0.999,match,RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,revenue,revenue_mln,1720.0,1720.0,1.0,match,RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,net_income,net_profit_mln,241.2,215.0,0.892,FLAG_DIVERGENCE,RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,net_income,net_profit_mln,,97.0,,skip(col_diverged),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,ebitda,ebitda_mln,321.2,322.0,1.002,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,ebitda,ebitda_mln,,215.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,assets,assets_mln,2671.4,2670.0,0.999,match,RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,assets,assets_mln,2990.0,2990.0,1.0,match,RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,net_assets,equity_mln,1073.6,368.0,0.343,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,net_assets,equity_mln,,474.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,debt,total_debt_mln,,568.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,debt,total_debt_mln,,821.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,net_debt,net_debt_mln,234.3,70.0,0.299,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,net_debt,net_debt_mln,,260.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,ocf,CFO_,482.0,482.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,ocf,CFO_,,191.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,capex,CAPEX_,100.0,100.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,capex,CAPEX_,,170.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2024,fcf,FCF,382.0,185.0,0.484,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABIO,2025,fcf,FCF,,-176.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABIO/f/y/
ABRD,2024,revenue,revenue_mln,19647.8,19700.0,1.003,match,RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,revenue,revenue_mln,21200.0,21200.0,1.0,match,RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,net_income,net_profit_mln,1836.8,1880.0,1.023,match,RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,net_income,net_profit_mln,1960.0,1960.0,1.0,match,RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,ebitda,ebitda_mln,4177.7,4310.0,1.032,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,ebitda,ebitda_mln,,4800.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,assets,assets_mln,34251.7,34300.0,1.001,match,RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,assets,assets_mln,35500.0,35500.0,1.0,match,RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,net_assets,equity_mln,17939.0,18000.0,1.003,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,net_assets,equity_mln,,19300.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,debt,total_debt_mln,9370.0,9370.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,debt,total_debt_mln,,8860.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,net_debt,net_debt_mln,9683.3,8650.0,0.893,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,net_debt,net_debt_mln,,8690.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,ocf,CFO_,-1250.0,-1250.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,ocf,CFO_,,1310.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,capex,CAPEX_,1280.0,1280.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,capex,CAPEX_,,704.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2024,fcf,FCF,-2530.0,-2830.0,1.119,flag(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
ABRD,2025,fcf,FCF,,868.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/ABRD/f/y/
AFKS,2024,revenue,revenue_mln,1231607.0,1230000.0,0.999,match,RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,revenue,revenue_mln,1332000.0,1332000.0,1.0,match,RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,net_income,net_profit_mln,-11013.0,-26200.0,2.379,FLAG_DIVERGENCE,RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,net_income,net_profit_mln,,-222200.0,,skip(col_diverged),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,ebitda,ebitda_mln,319980.0,316300.0,0.988,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,ebitda,ebitda_mln,,306200.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,assets,assets_mln,2761416.0,2778000.0,1.006,match,RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,assets,assets_mln,2878000.0,2878000.0,1.0,match,RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,net_assets,equity_mln,90886.0,11000.0,0.121,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,net_assets,equity_mln,,-173800.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,debt,total_debt_mln,608644.4,1485000.0,2.44,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,debt,total_debt_mln,,1550000.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,net_debt,net_debt_mln,1488581.0,1327000.0,0.891,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,net_debt,net_debt_mln,,1434000.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,ocf,CFO_,1140.0,1140.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,ocf,CFO_,,117400.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,capex,CAPEX_,189300.0,189300.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,capex,CAPEX_,,166800.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2024,fcf,FCF,-188160.0,-213300.0,1.134,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFKS,2025,fcf,FCF,,-61000.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFKS/f/y/
AFLT,2024,revenue,revenue_mln,856785.0,856800.0,1.0,match,RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2025,revenue,revenue_mln,902300.0,902300.0,1.0,match,RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2024,net_income,net_profit_mln,55020.0,64200.0,1.167,FLAG_DIVERGENCE,RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2025,net_income,net_profit_mln,1000.0,22600.0,22.6,FLAG_DIVERGENCE,RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2024,ebitda,ebitda_mln,213513.0,214100.0,1.003,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2025,ebitda,ebitda_mln,,253700.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2024,assets,assets_mln,1156896.0,1157000.0,1.0,match,RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2025,assets,assets_mln,1126000.0,1126000.0,1.0,match,RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2024,net_assets,equity_mln,-72497.0,-55700.0,0.768,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2025,net_assets,equity_mln,229400.0,66500.0,0.29,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2024,debt,total_debt_mln,703000.0,703000.0,1.0,flag(needs_mapping),RUB,https://smart-lab.ru/q/AFLT/f/y/
AFLT,2025,debt,total_debt_mln,,609400.0,,skip_empty(needs_mapping),RUB,https://smart-lab.ru/q/AFLT/f/y/
